PickPK,Location,ActivityID,Line,ItemID,Bin,OriginalBin,PendingBin,OriginalZone,PendingZone,QuantityToHandle,QuantityOutstanding,UOM,Description,CreatedOn,CreatedBy
1A6B86F8-55D2-4A19-A18D-1624C67AA31E,IL01,W-PI8496642,10000,BC24XPPG,BT19201,,NULL,NULL,45,0,0,EA,"BC, HP LJ 1150 HY",2017-12-07 17:10:08.230,RWaldo
03D549BC-3002-4E22-A6FA-166B1FD4E05B,IL01,W-PI8496075,10000,BCTN570,BW06101,,NULL,NULL,FLOOR,0,0,EA,Bare Cartridge BCTN570,2017-12-07 16:30:22.470,Pabens
BD7CF888-F9A8-4173-A93F-16775A77E898,IL01,W-PI8495096,10000,BCLXMS310BX,BQ08401,,NULL,NULL,43,0,0,EA,"BC, Lex Compliant MS310 Bxd",2017-12-07 16:52:40.287,cbaker
344DFA9A-38C4-42A7-9E97-171AAD810F0E,IL01,W-PI8499410,70000,200189PNB,AR01301,,NULL,NULL,18,0,0,EA,"CIG, HP 1415 Tnr Mg",2017-12-07 18:52:16.913,wheinz
AD13CE7F-BB5B-4BA4-9121-179280C8301A,IL01,W-PI8494629,590000,114545,AM14101,,NULL,NULL,FLOOR,0,0,EA,"CIG, HP 96 Ink Bk",2017-12-07 16:39:34.503,aseifr
4937CC56-38A7-4BDB-8190-17BECC4FEADA,IL01,W-PI8499842,30000,847535001,BN16103,,NULL,NULL,FLOOR,0,0,EA,"Box, WPP Toner #1",2017-12-07 16:41:22.680,Cthompson
EC659A8A-1D76-459E-9464-17C2EAB79FE6,IL01,W-PI8493510,70000,846741001,BK16101,,NULL,NULL,FLOOR,0,0,EA,"Insrt,MldPlpEndCap,4525 Left",2017-12-07 08:52:26.197,awisse
0F15EEEF-A3BE-4A09-AB2F-17D9E4032193,IL01,W-PI8494082,10000,IVR951XLY,FR02502,,NULL,NULL,FLOOR,0,0,EA,"IVR, HP 951XL Yellow",2017-12-07 09:02:57.817,Rwoodin
C11E863E-68CD-4EC4-A2A4-17EDDCA8FB73,IL01,W-PI8496075,70000,840729001,BW19102,,NULL,NULL,FLOOR,0,0,EA,"Molded End Cp Rt BRT MOD. ""C""",2017-12-07 16:42:20.430,Pabens
ABFC2C1E-084C-4C8A-BA8B-182FF06C6B60,IL01,W-PI8493509,50000,839725001,BL15103,,NULL,NULL,FLOOR,0,0,EA,"Insert,End Cap, Left (4700)",2017-12-07 10:58:23.737,awisse
89DE1D44-41DE-4AFD-B5F0-18821F698773,IL01,W-PI8494894,70000,847812001,BR22101,,NULL,NULL,FLOOR,0,0,EA,"SPDYPAK  Rt, TN310, TN315",2017-12-07 17:42:25.563,tcramer
B80ABFC8-7DBF-438F-AAA8-18B2C5A2632B,IL01,W-PI8495144,30000,851605001,BN08102,,NULL,NULL,FLOOR,0,0,EA,"Box, MOM Toner #1",2017-12-07 18:35:13.363,cbaker
F101A75B-927D-4E82-8C61-18EBACD838D2,IL01,W-PI8495100,10000,851471001,BP11402,,NULL,NULL,42,0,0,EA,"Box, Plain Brown Kraft #1",2017-12-07 17:33:47.467,cbaker
7FBB00FA-1D2F-44A5-9A6B-190A7B2F92C0,IL01,W-PI8496081,50000,843466001,BL03103,,NULL,NULL,FLOOR,0,0,EA,Chip Brd Box 3.625x2.375x6.875,2017-12-07 16:08:07.693,cbaker
CABAACD5-B32F-4BD9-8B67-193D0DCB12F4,IL01,W-PI8495101,30000,845288003,BG11102,,NULL,NULL,FLOOR,0,0,EA,"BOX, WHITE KEMI W/VARNISH #8",2017-12-07 18:31:49.367,Pabens
2DC7F694-6D0A-4E48-A12C-1996281267B8,IL01,W-PI8495100,50000,833549001,BM15102,,NULL,NULL,FLOOR,0,0,EA,INSERT #1A for Box 1,2017-12-07 17:36:48.410,cbaker
036FB902-9D12-485C-B108-19FBF0BE073D,IL01,W-PI8495140,30000,BC90AMPG,BK06102,,NULL,NULL,FLOOR,0,0,EA,HP M4555 LY Micr (90AMPG),2017-12-07 20:24:47.800,RWaldo
0F163058-4D35-4F55-8DA9-1A05E115CDCC,IL01,W-PI8494892,30000,847538001,BW01102,,NULL,NULL,FLOOR,0,0,EA,"Box, WPP Toner #7",2017-12-07 13:31:09.460,tcramer
9F0BAD21-C3B3-4ECD-92C8-1A161A1A4056,IL01,W-PI8500641,50000,843365001,BK01103,,NULL,NULL,FLOOR,0,0,EA,"Box, Ideal Toner #2",2017-12-07 20:49:06.657,Pabens
43325FB5-CE72-47CB-9D33-1A2E61C2F96F,IL01,W-PI8500640,30000,BC82P,BJ11302,,NULL,NULL,36,0,0,EA,"BC, HP 8100/8150/Mopier 320",2017-12-07 21:41:00.840,RWaldo
4A4DCDEA-B636-4228-98BE-1A37EFBAE25B,IL01,W-PI8494894,10000,BCTN315M,BQ10102,,NULL,NULL,FLOOR,0,0,EA,Brother TN315 Magenta,2017-12-07 17:39:46.313,tcramer
51DAF5C5-10F0-4D3B-9CBE-1B4E692FF3ED,IL01,W-PI8494100,70000,IVR860120,AG25101,,NULL,NULL,FLOOR,0,0,EA,Comp Eps C68/88 Ink Bk,2017-12-07 09:05:38.387,Rwoodin
A26E6B09-2017-4657-8F6E-1BA323AD49AA,IL01,W-PI8499424,390000,200120PNB2,AF07101,,NULL,NULL,FLOOR,0,0,EA,"CIG, HP 35A Tnr",2017-12-07 17:48:26.463,aseifr
06E8DB63-F451-4534-961F-1BDA5B491898,IL01,W-PI8492807,10000,BCPB61UXNPO,BR04101,,NULL,NULL,FLOOR,0,0,EA,HP4100 (61UX),2017-12-07 06:55:38.833,Khester
F41BBAB3-FE20-4344-85EC-1C48ABE8D917,IL01,W-PI8498138,630000,IVR951XLY,FR02502,,NULL,NULL,FLOOR,0,0,EA,"IVR, HP 951XL Yellow",2017-12-07 22:13:43.153,Kburke
683EADB6-F442-489E-B0AA-1C69E11A3354,IL01,W-PI8496646,10000,BCD5110M,BG03403,,NULL,NULL,33,0,0,EA,Dell 5110cn Tnr Mg DNO,2017-12-07 17:03:10.177,cbaker
FD7B0B8F-0FBF-41D5-89C0-1C6FD6C31A9B,IL01,W-PI8494093,250000,IVR951XLY,FR02502,,NULL,NULL,FLOOR,0,0,EA,"IVR, HP 951XL Yellow",2017-12-07 12:08:55.953,Rwoodin
0E676E11-39D9-4A8D-BC2E-1C782C65F503,IL01,W-PI8495079,70000,839352001,BW02102,,NULL,NULL,FLOOR,0,0,EA,Molded End Cap Right 49/53A,2017-12-07 16:33:53.483,tcramer
6794431E-33AF-41B0-8932-1C7BABAFE60F,IL01,W-PI8494629,870000,200490P,AC11102,,NULL,NULL,FLOOR,0,0,EA,"CIG, HP 55X Tnr EY",2017-12-07 13:56:03.977,Rwoodin
D471B50C-8C27-4FEC-9B3D-1C9C2B310B7F,IL01,W-PI8494095,10000,IVRH561WN,FR04503,,NULL,NULL,FLOOR,0,0,EA,"Comp, IJ, HP 61 Black",2017-12-07 09:17:00.097,Rwoodin
